                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.6507,                 2.5209,                 3.1058,                0.00013,                0.03846,                  7e-05,                  1e-05,                 4.6318,                 3.9704,                  4.234,              0.0011941,              0.0011941,              0.0011941
                     35,                 2.4985,                 2.6575,                 2.9128,                0.00014,                0.03846,                  7e-05,                  1e-05,                 4.6547,                 4.0917,                 4.2632,              0.0012252,              0.0012252,              0.0012252
                     36,                 2.6341,                 2.8004,                 3.0756,                0.00014,                0.03846,                  8e-05,                  1e-05,                 4.6499,                 3.9958,                 4.2779,               0.001256,               0.001256,               0.001256
                     37,                 2.6042,                 2.4573,                 2.9997,                0.00014,                0.03846,                  8e-05,                  1e-05,                 4.6499,                 3.9958,                 4.2779,              0.0012866,              0.0012866,              0.0012866
                     38,                 2.4079,                 2.2836,                 2.9362,                0.00027,                0.07692,                0.00015,                  1e-05,                 4.6373,                 3.8666,                 4.2724,              0.0013169,              0.0013169,              0.0013169
                     39,                 2.4655,                  2.487,                 2.9647,                0.00014,                0.03846,                  8e-05,                  1e-05,                 4.6422,                 3.8861,                 4.2805,              0.0013469,              0.0013469,              0.0013469
                     40,                 2.3201,                 2.2675,                 2.8222,                0.00014,                0.03846,                  8e-05,                  1e-05,                 4.6422,                 3.8861,                 4.2805,              0.0013767,              0.0013767,              0.0013767
                     41,                 2.5507,                  2.269,                 2.9453,                0.00028,                0.07692,                0.00015,                  2e-05,                 4.6229,                 3.8996,                  4.268,              0.0014062,              0.0014062,              0.0014062
                     42,                 2.3366,                 2.2268,                 2.8837,                0.00014,                0.03846,                  8e-05,                  1e-05,                 4.5734,                 3.9436,                  4.224,              0.0014354,              0.0014354,              0.0014354
                     43,                  2.374,                 2.2185,                 2.7703,                0.00014,                0.03846,                  8e-05,                  1e-05,                 4.5734,                 3.9436,                  4.224,              0.0014644,              0.0014644,              0.0014644
                     44,                 2.3061,                 2.2464,                 2.7565,                0.00028,                0.07692,                0.00015,                  2e-05,                 4.5477,                 4.0625,                 4.1957,              0.0014931,              0.0014931,              0.0014931
                     45,                 2.5012,                 2.5897,                 2.9055,                0.00028,                0.07692,                0.00015,                  2e-05,                 4.5477,                 4.0625,                 4.1957,              0.0015215,              0.0015215,              0.0015215
                     46,                 2.5038,                 2.3572,                 3.0132,                0.00028,                0.07692,                0.00016,                  2e-05,                  4.482,                 4.0721,                 4.1354,              0.0015497,              0.0015497,              0.0015497
                     47,                 2.5531,                 2.1688,                 2.8881,                0.00028,                0.07692,                0.00016,                  2e-05,                  4.482,                 4.0721,                 4.1354,              0.0015777,              0.0015777,              0.0015777
                     48,                 2.5075,                 2.0766,                 2.7869,                0.00014,                0.03846,                  8e-05,                  2e-05,                 4.2806,                 4.0125,                 3.9892,              0.0016053,              0.0016053,              0.0016053
                     49,                  2.521,                  2.487,                 2.9196,                0.00014,                0.03846,                  8e-05,                  2e-05,                 4.2806,                 4.0125,                 3.9892,              0.0016327,              0.0016327,              0.0016327
                     50,                 2.6504,                 2.3753,                 2.8447,                0.00055,                0.15385,                 0.0004,                  6e-05,                 4.1528,                 3.9532,                 3.9115,              0.0016598,              0.0016598,              0.0016598
                     51,                 2.5055,                 2.0959,                 2.8526,                0.00055,                0.15385,                 0.0004,                  6e-05,                 4.1528,                 3.9532,                 3.9115,                0.00167,                0.00167,                0.00167
                     52,                 2.2528,                 2.1992,                 2.6433,                0.00088,                0.19231,                0.00058,                0.00013,                 4.1002,                 3.8611,                 3.8802,              0.0016634,              0.0016634,              0.0016634
                     53,                 2.3468,                 2.4222,                 2.7726,                0.00088,                0.19231,                0.00058,                0.00013,                 4.1002,                 3.8611,                 3.8802,              0.0016568,              0.0016568,              0.0016568
                     54,                 2.2721,                 2.5092,                 2.7707,                0.00146,                0.26923,                0.00511,                0.00191,                 3.9701,                  3.745,                 3.7615,              0.0016502,              0.0016502,              0.0016502
                     55,                 2.2851,                 2.3148,                  2.725,                0.00146,                0.26923,                0.00511,                0.00191,                 3.9701,                  3.745,                 3.7615,              0.0016436,              0.0016436,              0.0016436
                     56,                 2.0665,                   2.74,                 2.7407,                0.00087,                0.11538,                0.00296,                0.00098,                 4.1466,                 3.8481,                 3.8988,               0.001637,               0.001637,               0.001637
                     57,                 2.4459,                 2.0352,                 2.8052,                0.00087,                0.11538,                0.00296,                0.00098,                 4.1466,                 3.8481,                 3.8988,              0.0016304,              0.0016304,              0.0016304
                     58,                 2.3912,                 2.2508,                 2.8414,                0.00133,                0.19231,                0.00445,                0.00137,                 4.1202,                 3.9218,                  3.899,              0.0016238,              0.0016238,              0.0016238
                     59,                 2.2514,                 2.1102,                 2.6356,                0.00133,                0.19231,                0.00445,                0.00137,                 4.1202,                 3.9218,                  3.899,              0.0016172,              0.0016172,              0.0016172
                     60,                 2.1212,                 1.9356,                 2.6592,                0.03509,                0.03846,                0.00522,                 0.0021,                 3.7864,                 3.8584,                 3.6991,              0.0016106,              0.0016106,              0.0016106
                     61,                 2.4516,                 2.0055,                 2.7756,                0.03509,                0.03846,                0.00522,                 0.0021,                 3.7864,                 3.8584,                 3.6991,               0.001604,               0.001604,               0.001604
                     62,                 2.1751,                 1.9984,                 2.6859,                0.08964,                0.03846,                0.01635,                0.00698,                 3.4483,                 3.7432,                 3.4497,              0.0015974,              0.0015974,              0.0015974
                     63,                 2.3842,                 2.6144,                 2.8652,                0.08964,                0.03846,                0.01635,                0.00698,                 3.4483,                 3.7432,                 3.4497,              0.0015908,              0.0015908,              0.0015908
                     64,                  2.446,                 2.4238,                 2.8754,                0.50795,                0.15385,                0.16539,                  0.058,                  3.027,                 3.2726,                 3.1444,              0.0015842,              0.0015842,              0.0015842
                     65,                 2.3098,                  2.283,                 2.7564,                0.50795,                0.15385,                0.16539,                  0.058,                  3.027,                 3.2726,                 3.1444,              0.0015776,              0.0015776,              0.0015776
                     66,                 2.2314,                 2.1761,                 2.5751,                0.80937,                0.19231,                0.28763,                 0.1099,                 2.4657,                 3.0334,                 2.8211,               0.001571,               0.001571,               0.001571
                     67,                 2.2208,                 1.9797,                 2.5883,                0.80937,                0.19231,                0.28763,                 0.1099,                 2.4657,                 3.0334,                 2.8211,              0.0015644,              0.0015644,              0.0015644
                     68,                 2.2404,                 2.0071,                  2.588,                0.47499,                0.19231,                0.27764,                0.09927,                 2.1846,                  3.201,                  2.717,              0.0015578,              0.0015578,              0.0015578
                     69,                  2.139,                 2.0421,                 2.6298,                0.47499,                0.19231,                0.27764,                0.09927,                 2.1846,                  3.201,                  2.717,              0.0015512,              0.0015512,              0.0015512
